Lon,Lat,Year,TG,PID,PFT,age,cmass,ndist,ecoregion,relative
-126.25,64.75,2098,275.15087890625,24,BNE,10,0.11,1,TAIGA CORDILLERA,0.10476190476190476
-126.25,64.75,2099,276.1706848144531,0,BNE,107,0.83,3,TAIGA CORDILLERA,0.066030230708035
-126.25,64.75,2099,276.1706848144531,1,BNE,1149,7.18,0,TAIGA CORDILLERA,1
-126.25,64.75,2099,276.1706848144531,2,BNE,117,0.82,1,TAIGA CORDILLERA,0.06861924686192468
-126.25,64.75,2099,276.1706848144531,3,BNE,1149,5.27,0,TAIGA CORDILLERA,0.9981060606060607
-126.25,64.75,2099,276.1706848144531,4,BNE,202,5.63,1,TAIGA CORDILLERA,0.45220883534136547
-126.25,64.75,2099,276.1706848144531,5,BNE,212,2.73,1,TAIGA CORDILLERA,0.24266666666666667
-126.25,64.75,2099,276.1706848144531,6,BNE,1149,5.95,0,TAIGA CORDILLERA,0.9983221476510068
-126.25,64.75,2099,276.1706848144531,7,BNE,507,6.62,0,TAIGA CORDILLERA,0.9836552748885586
-126.25,64.75,2099,276.1706848144531,8,BNE,309,7.68,0,TAIGA CORDILLERA,0.964824120603015
-126.25,64.75,2099,276.1706848144531,9,BNE,218,6.9,1,TAIGA CORDILLERA,0.8823529411764706
-126.25,64.75,2099,276.1706848144531,10,BNE,707,10.35,0,TAIGA CORDILLERA,0.993282149712092
-126.25,64.75,2099,276.1706848144531,11,BNE,1063,6.42,0,TAIGA CORDILLERA,1
-126.25,64.75,2099,276.1706848144531,12,BNE,191,3.55,1,TAIGA CORDILLERA,0.2663165791447862
-126.25,64.75,2099,276.1706848144531,13,BNE,49,0.15,2,TAIGA CORDILLERA,0.021739130434782608
-126.25,64.75,2099,276.1706848144531,14,BNE,128,1.69,1,TAIGA CORDILLERA,0.12764350453172207
-126.25,64.75,2099,276.1706848144531,15,BNE,117,0.98,1,TAIGA CORDILLERA,0.09099350046425256
-126.25,64.75,2099,276.1706848144531,16,BNE,130,1.16,1,TAIGA CORDILLERA,0.10603290676416818
-126.25,64.75,2099,276.1706848144531,17,BNE,19,0.29,2,TAIGA CORDILLERA,0.1074074074074074
-126.25,64.75,2099,276.1706848144531,18,BNE,126,1.61,1,TAIGA CORDILLERA,0.1216931216931217
-126.25,64.75,2099,276.1706848144531,19,BNE,221,9.75,1,TAIGA CORDILLERA,1
-126.25,64.75,2099,276.1706848144531,20,BNE,297,6.73,1,TAIGA CORDILLERA,1
-126.25,64.75,2099,276.1706848144531,21,BNE,12,0.19,2,TAIGA CORDILLERA,0.13571428571428573
-126.25,64.75,2099,276.1706848144531,22,BNE,296,7.23,1,TAIGA CORDILLERA,0.9704697986577182
-126.25,64.75,2099,276.1706848144531,23,BNE,28,0.42,2,TAIGA CORDILLERA,0.11290322580645161
-126.25,64.75,2099,276.1706848144531,24,BNE,11,0.14,1,TAIGA CORDILLERA,0.125
-125.75,64.75,2091,274.68988037109375,0,BNE,384,8.75,0,TAIGA CORDILLERA,0.9002057613168724
-125.75,64.75,2091,274.68988037109375,1,BNE,650,9.03,0,TAIGA CORDILLERA,1
-125.75,64.75,2091,274.68988037109375,2,BNE,716,8.95,0,TAIGA CORDILLERA,0.9988839285714286
-125.75,64.75,2091,274.68988037109375,3,BNE,119,1.33,1,TAIGA CORDILLERA,0.10423197492163008
-125.75,64.75,2091,274.68988037109375,4,BNE,39,0.27,3,TAIGA CORDILLERA,0.04753521126760564
-125.75,64.75,2091,274.68988037109375,5,BNE,42,0.24,1,TAIGA CORDILLERA,0.04088586030664395
-125.75,64.75,2091,274.68988037109375,6,BNE,167,2.98,2,TAIGA CORDILLERA,0.2308288148721921
-125.75,64.75,2091,274.68988037109375,7,BNE,325,8.83,0,TAIGA CORDILLERA,0.944385026737968
-125.75,64.75,2091,274.68988037109375,8,BNE,197,10.6,2,TAIGA CORDILLERA,0.9584086799276672
-125.75,64.75,2091,274.68988037109375,9,BNE,123,2.79,2,TAIGA CORDILLERA,0.2685274302213667
-125.75,64.75,2091,274.68988037109375,10,BNE,77,0.45,2,TAIGA CORDILLERA,0.0412087912087912
-125.75,64.75,2091,274.68988037109375,11,BNE,307,8.48,0,TAIGA CORDILLERA,0.8591691995947315
-125.75,64.75,2091,274.68988037109375,12,BNE,154,4.15,1,TAIGA CORDILLERA,0.3293650793650794
-125.75,64.75,2091,274.68988037109375,13,BNE,279,9,1,TAIGA CORDILLERA,0.8310249307479224
-125.75,64.75,2091,274.68988037109375,14,BNE,12,0.18,4,TAIGA CORDILLERA,0.13740458015267173
-125.75,64.75,2091,274.68988037109375,15,BNE,30,0.31,2,TAIGA CORDILLERA,0.07808564231738035
-125.75,64.75,2091,274.68988037109375,16,BNE,259,9.31,1,TAIGA CORDILLERA,0.9597938144329896
-125.75,64.75,2091,274.68988037109375,17,BNE,45,0.23,2,TAIGA CORDILLERA,0.03639240506329114
-125.75,64.75,2091,274.68988037109375,18,BNE,46,0.12,1,TAIGA CORDILLERA,0.016877637130801686
-125.75,64.75,2091,274.68988037109375,19,BNE,304,9.15,0,TAIGA CORDILLERA,0.752467105263158
-125.75,64.75,2091,274.68988037109375,20,BNE,188,5.4,2,TAIGA CORDILLERA,0.4619332763045338
-125.75,64.75,2091,274.68988037109375,21,BNE,1,0,4,TAIGA CORDILLERA,0
-125.75,64.75,2091,274.68988037109375,22,BNE,342,8.76,0,TAIGA CORDILLERA,0.745531914893617
-125.75,64.75,2091,274.68988037109375,23,BNE,151,3.12,1,TAIGA CORDILLERA,0.22559652928416485
-125.75,64.75,2091,274.68988037109375,24,BNE,244,9.18,1,TAIGA CORDILLERA,0.8660377358490566
-125.75,64.75,2092,275.19879150390625,0,BNE,385,8.94,0,TAIGA CORDILLERA,0.9021190716448032
-125.75,64.75,2092,275.19879150390625,1,BNE,651,9.11,0,TAIGA CORDILLERA,1
-125.75,64.75,2092,275.19879150390625,2,BNE,717,8.16,0,TAIGA CORDILLERA,0.9987760097919217
